#, B(Y1), C(X2), D(Y2), E(X3), F(Y3), G(X4), H(Y4), I(X5), J(Y5), K(X6), L(Y6), M(X5), N(Y5), O(X6), P(Y6), Q(X5), R(Y5), S(X6), T(Y6)
#, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature
#, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K
#, 7.2 ps pulse, , 7.2 ps pulse, , 8.6 ps pulse, , 8.6 ps pulse, , 12.85 ps pulse, , 12.85 ps pulse, , 15.6 ps pulse, , 15.6 ps pulse, , 0.35 ns, , 0.35 ns
12.2, 1.344717903, 11.04092311, 293.9900541, -1.58, -0.905909783, 0.001531286, 293.5406603, 7.108, -0.980485208, 11.33680079, 293.9614793, -2.8, -0.633904042, -7.697359963, 293.3032131, 100, 0.306481212, 63.90738001, 293.1530051
12.444, 1.258145411, 11.17425707, 293.993751, -1.336, -0.877462184, 0.591820188, 293.5342248, 7.352, -1.112060031, 11.53530896, 293.9672999, -2.556, -0.45688953, -7.595311863, 293.3000671, 102, 0.305173857, 64.07397244, 293.1530027
12.688, 1.130368562, 11.30759104, 293.999399, -1.092, -0.841829789, 0.851088164, 293.5309934, 7.596, -1.241271863, 11.73381713, 293.9652154, -2.312, -0.285218479, -7.493263763, 293.2969733, 104, 0.298263549, 64.22390562, 293.1530006
12.932, 0.964429871, 11.57425897, 294.0140601, -0.848, -0.800305738, 1.11035614, 293.5276791, 7.84, -1.367064747, 11.91247448, 293.9570532, -2.068, -0.124427105, -7.391215663, 293.2940888, 106, 0.28687088, 64.35280575, 293.1529989
13.176, 0.764189585, 11.8409269, 294.0323813, -0.604, -0.754541076, 1.343697318, 293.5248288, 8.084, -1.488236121, 12.06608038, 293.9457066, -1.824, 0.020196161, -7.187119463, 293.28975, 108, 0.270435553, 64.61060599, 293.1529955
13.42, 0.534162564, 12.10759483, 294.0516129, -0.36, -0.706337576, 1.553704379, 293.5225176, 8.328, -1.603374188, 12.21968628, 293.9306919, -1.58, 0.143805753, -6.890655859, 293.2920473, 110, 0.252319341, 65.12620648, 293.1529893
13.664, 0.279333855, 12.64093069, 294.0778609, -0.116, -0.657723387, 1.742710734, 293.5207418, 8.572, -1.710869053, 12.31142838, 293.9205765, -1.336, 0.24210229, -6.594192254, 293.3039333, 112, 0.233269303, 65.38400673, 293.1529864
13.908, 0.005133813, 13.17426655, 294.0789915, 0.128, -0.610796553, 1.931717088, 293.5193534, 8.816, -1.808808526, 12.40317049, 293.9095493, -1.092, 0.311489761, -6.32737501, 293.3234683, 114, 0.21291191, 65.89960722, 293.152981
14.152, -0.282799522, 13.70760242, 294.0566473, 0.372, -0.567653792, 2.120723443, 293.5184329, 9.06, -1.89512679, 12.48815645, 293.8987654, -0.848, 0.349103892, -6.087239491, 293.3482903, 116, 0.191247161, 65.96405728, 293.1529804
14.396, -0.578731288, 13.93736992, 294.041825, 0.616, -0.530338943, 2.498736152, 293.5180375, 9.304, -1.967435942, 12.53446745, 293.8927573, -0.604, 0.352981483, -5.871117523, 293.3761008, 118, 0.167714762, 65.99628231, 293.15298
